Kode Produk;Produk;Status Produk Saat Ini;Kode Variasi;Nama Variasi;Pengunjung Produk (Kunjungan);Halaman Produk Dilihat;Pengunjung Melihat Tanpa Membeli;Tingkat Pengunjung Melihat Tanpa Membeli;Klik Pencarian;Suka;Pengunjung Produk (Menambahkan Produk ke Keranjang);Dimasukkan ke Keranjang (Produk);Tingkat Konversi Produk Dimasukkan ke Keranjang;Total Pembeli (Pesanan Dibuat);Produk (Pesanan Dibuat);Total Penjualan (Pesanan Dibuat) (IDR);Tingkat Konversi (Pesanan yang Dibuat);Total Pembeli (Pesanan Siap Dikirim);Produk (Pesanan Siap Dikirim);Penjualan (Pesanan Siap Dikirim) (IDR);Tingkat Konversi (Pesanan Siap Dikirim);Tingkat Konversi (Pesanan Siap Dikirim dibagi Pesanan Dibuat);% Pembelian Ulang (Pesanan Siap Dikirim)
28804814343;CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%;Normal;0;-;13;21;3;23;9;1;1;2;7,69;1;6;1631350,00;7,69;1;2;544450,00;7,69;100,00;0,00
28804814343;CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%;Normal;1,95228E+11;Hitam;0;0;0;0;0;0;1;1;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28804814343;CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%;Normal;1,95228E+11;Hitam dan Warna;0;0;0;0;0;0;1;1;0,00;1;6;1631350,00;0,00;1;2;544450,00;0,00;100,00;0,00
29954717517;Mouse Wireless Logitech M170;Normal;0;-;63;174;30;48;44;2;16;24;25,40;3;3;363651,00;4,76;3;3;363651,00;4,76;100,00;0,00
25283156318;Laptop HP 14S-FQ1136AU (GOLD) , (Ryzen5-5500U, 8GB DDR4, 512 GB PCIe NVMe™ M.2 SSD, NO ODD, 14 FHD IPS;" Backlit Keyboard Win11 + OHS)""""";Normal;0;-;54;111;21;39;30;0;4;6,00;7;1;2,00;12838000,00;2;1;2,00;12838000,00;1,85;100,00
24033264671;Flashdisk ROBOT RF108 8GB Rotatable;Normal;0;-;13;15;7;54;8;0;3;3;23,08;1;1;45910,00;7,69;1;1;45910,00;7,69;100,00;0,00
24383180403;Epson L3210 All In One - Print Scan Copy EcoTank Printer Multifungsi;Normal;0;-;38;79;15;39;32;0;6;11;15,79;1;1;2589000,00;2,63;0;0;0,00;0,00;0,00;0,00
24933935477;COOLING PAD VOXY N32;Normal;0;-;3;6;2;67;1;0;1;1;33,33;1;1;47000,00;33,33;1;1;47000,00;33,33;100,00;0,00
25483232378;CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%;Normal;0;-;21;49;8;38;11;0;9;15;42,86;1;1;138685,00;4,76;1;1;138685,00;4,76;100,00;0,00
25483232378;CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%;Normal;2,56162E+11;Hitam;0;0;0;0;0;0;4;5;0,00;1;1;138685,00;0,00;1;1;138685,00;0,00;100,00;0,00
25483232378;CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%;Normal;2,56162E+11;Warna (CMY);0;0;0;0;0;0;3;5;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
25483232378;CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%;Normal;2,56162E+11;Hitam dan Warna;0;0;0;0;0;0;3;5;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27106039687;Asus VivoBook 14 A416MAO-FHD426 Grey Intel  N4020 8GB 256SSD FHD W11 OHS;Normal;0;-;82;144;32;39;72;0;14;14;17,07;1;1;4573000,00;1,22;1;1;4573000,00;1,22;100,00;0,00
27806092548;CATRIDGE HP 682 BLACK / COLOR ORIGINAL 100%;Normal;0;-;5;6;0;0;5;0;2;2;40,00;1;1;154000,00;20,00;1;1;154000,00;20,00;100,00;0,00
27806092548;CATRIDGE HP 682 BLACK / COLOR ORIGINAL 100%;Normal;1,97673E+11;Hitam;0;0;0;0;0;0;2;2;0,00;1;1;154000,00;0,00;1;1;154000,00;0,00;100,00;0,00
29154998130;LOGITECH MK220 WIRELESS USB KEYBOARD & MOUSE;Normal;0;-;15;25;6;40;11;0;3;3;20,00;1;1;289254,00;6,67;1;1;289254,00;6,67;100,00;0,00
29854688644;Epson L121 - Print Only Inktank - L series;Normal;0;-;7;9;5;71;0;0;1;1;14,29;1;1;1869926,00;14,29;0;0;0,00;0,00;0,00;0,00
29904654709;Laptop HP 245 G10 Ryzen 3 7320U 8GB RAM 256GB SSD Windows 11 14 Inch;Normal;0;-;97;172;52;54;85;0;12;17;12,37;1;1;5356074,00;1,03;0;0;0,00;0,00;0,00;0,00
24083861305;Kabel Power Printer Wintech 1.2m;Normal;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24433156608;Laptop HP 14S-FQ1009AU (Silver) (Ryzen3-5300U, 4GB+4GB DDR4 512 GB PCIe NVMe™ M.2 SSD, NO ODD, 14 FHD IPS; Backlit Keyboard;" Win11 + OHS)""""";Normal;0;-;10;25;6;60;4;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24683860832;Cartridge Canon 745s dan 746s Original 100%;Normal;0;-;4;7;0;0;3;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24783212180;Tidak dapat memperoleh informasi produk karena penghapusan;Dihapus;0;-;2;8;1;50;1;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24934012231;LED TV AKARI AT-5532B Android Smart TV 32 Inc With Bluetooth;Normal;0;-;1;3;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
25783170922;HP 14S DQ5118TU Core i5 1235U 8GB 512SSD W11+OHS 14.0 FHD IPS;Normal;0;-;5;6;3;60;2;1;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
26105230229;Mousepad dengan bantalan polos Ning Bo;Normal;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
